Station Name,Station Latitude,Station Longitude
Carroll College,46.5800,-112.0300
Helena Fed Bldg,46.5900,-112.0400
Ferndale City Hall,40.5760,-124.2630
El Centro Array #9,32.7940,-115.5490
Ferndale City Hall,40.5760,-124.2630
El Centro Array #9,32.7940,-115.5490
Ferndale City Hall,40.5760,-124.2630
Ferndale City Hall,40.5760,-124.2630
El Centro Array #9,32.7940,-115.5490
El Centro Array #9,32.7940,-115.5490
Ferndale City Hall,40.5760,-124.2630
LA - Hollywood Stor FF,34.0900,-118.3390
Pasadena - CIT Athenaeum,34.1390,-118.1210
Santa Barbara Courthouse,34.4230,-119.7000
Taft Lincoln School,35.1500,-119.4600
Ferndale City Hall,40.5760,-124.2630
San Luis Obispo,35.2850,-120.6610
El Centro Array #9,32.7940,-115.5490
Hollister City Hall,36.8500,-121.4000
Ferndale City Hall,40.5760,-124.2630
El Centro Array #9,32.7940,-115.5490
El Centro Array #9,32.7940,-115.5490
Golden Gate Park,37.7700,-122.4800
Hollister City Hall,36.8500,-121.4000
Ferndale City Hall,40.5760,-124.2630
Hollister City Hall,36.8500,-121.4000
Hollister City Hall,36.8500,-121.4000
Cholame - Shandon Array #12,35.6390,-120.4040
Cholame - Shandon Array #2,35.7330,-120.2900
Cholame - Shandon Array #5,35.6970,-120.3280
Cholame - Shandon Array #8,35.6710,-120.3590
San Luis Obispo,35.2850,-120.6610
Temblor pre-1969,35.7100,-120.1700
Ferndale City Hall,40.5760,-124.2630
Hollister City Hall,36.8500,-121.4000
El Centro Array #9,32.7940,-115.5490
LA - Hollywood Stor FF,34.0900,-118.3390
LB - Terminal Island,33.7700,-118.2300
Pasadena - CIT Athenaeum,34.1390,-118.1210
San Onofre - So Cal Edison,33.3700,-117.5600
Castaic - Old Ridge Route,34.5640,-118.6420
Cedar Springs Pumphouse,34.3100,-117.3000
"Cedar Springs, Allen Ranch",34.2778,-117.3350
Colton - So Cal Edison,34.0590,-117.3120
Devil's Canyon,34.2100,-117.3300
LA - Hollywood Stor FF,34.0900,-118.3390
Lake Hughes #1,34.6740,-118.4300
Puddingstone Dam (Abutment),34.0910,-117.8080
